Unnamed: 0,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,classification
0,1f2c32d8-2d6e-3b68-bc46-789469f2b71e,0.0008122137266923,0.0040664334403289,85.64324324324325,5405,default,1460.0,1295.0,451.0,E,normal
1,4c486414-d4f5-33f6-b485-24a8ed2925e8,6.324646128836197e-05,0.0022114659382986,16.166804782763112,519,default,9299.0,8447.0,302.0,E,normal
2,7e5838fc-bce1-371f-a3ac-d8a0b2a05d9a,0.0044809964936582,0.0153240119475347,99.57327586206895,6211,default,255.0,232.0,354.0,E,normal
3,82661ecd-d87f-3dff-855e-378f7cb6d912,0.0178370982315735,0.0149735381437975,69.7927927927928,8292,default,195.0,111.0,116.0,E,normal
4,d62d56ea-775e-328c-8b08-db7ad7f834e5,0.000797130068457,0.0060558188520273,14.952755905511813,182,default,272.0,254.0,23.0,E,normal
5,45d84ed6-043b-39ba-9247-0e5c36c48889,0.0016601732773791,0.005821036956816,92.22222222222224,7359,default,897.0,801.0,430.0,E,normal
6,886654dc-3acf-3d11-9da7-2380dbe5b11d,0.0047980674746151,0.012119226989846,100.09836065573772,8790,default,342.0,305.0,370.0,E,normal
7,e538e1a9-3666-3e6f-ba3d-3de4ab256b8b,0.0075695735919234,0.0088336875664187,65.7467248908297,6839,default,240.0,229.0,133.0,E,normal
8,0c8bc3da-f6c1-34f0-9afa-4179eaee4ebe,0.0007075345519393,0.014712438698172,7.526845637583893,96,default,326.0,298.0,33.0,E,normal
9,387a01c7-2223-3524-9e01-a278db41748e,0.0007985063310334,0.0043786488740617,79.39202407825432,5056,default,1471.0,1329.0,462.0,E,normal
10,3f98be89-cfcd-394f-a252-68a6d3b8f89c,0.0002981574539363,0.0210576692988753,6.539906103286385,75,default,659.0,639.0,88.0,E,normal
11,4d5f8f58-bbdd-3cc5-9645-ca424e8604d6,0.021537886340977,0.0129611166500498,16.810055865921786,3889,default,204.0,179.0,39.0,E,normal
12,71f62eaf-4c37-3f5b-8937-45ebfafee6a1,0.0005854347826086,0.0139130434782608,20.26431718061674,162,default,236.0,227.0,64.0,E,normal
13,98a15596-d1c4-3fb2-98b1-ca5828d0c4b5,0.0240362038664323,0.017809021675454,76.89189189189189,12309,default,115.0,111.0,152.0,E,normal
14,dc98ec0c-42f0-3004-8088-7bdf2e8505ad,0.0137116445916114,0.0115894039735099,17.257142857142856,2982,default,216.0,210.0,42.0,E,normal
15,f9e20d65-1586-3b12-a8b8-e17f8b7a0621,5.924300603400988e-06,0.0149204607789358,8.60717658168083,4,default,2593.0,1059.0,136.0,E,normal
16,240b31e7-6cb1-3ba3-95de-96072d911b4f,0.0045198787537008,0.0193148174256309,28.146825396825395,1924,default,375.0,252.0,137.0,E,normal
17,4ee267ef-5183-326c-9285-6d587ea82e9b,0.0154956787900612,0.0102628736046092,18.45182724252492,5164,default,341.0,301.0,57.0,E,normal
18,5926a07b-391c-3b38-b6a9-3678c276bb0e,0.0016153125,0.040625,8.465608465608465,156,default,211.0,189.0,65.0,E,normal
